Bright spot,Theta,Y/Z,h,k,l, plane_Theta, plane_K/L,
#0,0.49943250764765895,0.1203319502074689,3,1,5,0.5318080969475676,0.2,
#1,0.46342403739389953,0.3065326633165829,3,1,5,0.5318080969475676,0.2,
#2,0.46190591694192185,0.6045197740112994,3,3,5,0.475176849498095,0.6,
#3,0.3622866813470346,0.1386861313868613,2,0,6,0.3217505543966422,0.0,
#4,0.3631593939147745,0.4409448818897638,1,1,3,0.30627736916966947,0.3333333333333333,
#5,0.46004007239139805,1.2857142857142856,2,4,4,0.3398369094541219,1.0,
#6,0.4622202602627391,2.101123595505618,2,4,2,0.42053433528396517,2.0,
#7,0.2758810435400131,0.5294117647058824,1,1,3,0.30627736916966947,0.3333333333333333,
#8,0.34659670704251355,1.5,2,4,4,0.3398369094541219,1.0,
#9,0.35768700264844294,2.645833333333333,1,3,1,0.30627736916966947,3.0,
#10,0.4970230291930004,6.076923076923077,3,5,1,0.5318080969475676,5.0,
#11,0.32464828427892256,9.833333333333332,1,3,1,0.30627736916966947,3.0,
#12,0.34106642010444804,4.592592592592593,1,3,1,0.30627736916966947,3.0,
#13,0.2269149797168284,1.276595744680851,1,3,3,0.23147736397017835,1.0,
#14,0.4489604914242764,3.0000000000000004,2,4,2,0.42053433528396517,2.0,
#15,0.45383607769453754,2.1927710843373496,2,4,2,0.42053433528396517,2.0,
#16,0.3190604677901772,0.3888888888888889,1,1,3,0.30627736916966947,0.3333333333333333,
#17,0.3202490733837946,0.37614678899082565,1,1,3,0.30627736916966947,0.3333333333333333,
#18,0.4493433703092835,0.591715976331361,3,3,5,0.475176849498095,0.6,
#19,0.45039960009457636,0.5056818181818182,2,2,4,0.42053433528396517,0.5,
#20,0.496017418037259,0.03347280334728034,2,0,4,0.4636476090008061,0.0,
