X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

5.0	42
5.1	54
5.2	64
5.3	86
5.4	107
5.5	127
5.6	155
5.7	175
5.8	183
5.9	200
6.0	208
6.1	216
6.2	226
6.3	246
6.4	255
6.5	258
6.6	270
6.7	273
6.8	281
6.9	283
7.0	292
7.1	300
7.2	311
7.3	307
7.4	325
7.5	326
7.6	320
7.7	326
7.8	330
7.9	326
8.0	341
8.1	340
8.2	347
8.3	368
8.4	358
8.5	353
8.6	354
8.7	370
8.8	407
8.9	532
9.0	760
9.1	1019
9.2	856
9.3	617
9.4	485
9.5	413
9.6	406
9.7	426
9.8	439
9.9	567
10.0	836
10.1	1516
10.2	3109
10.3	3280
10.4	1982
10.5	1101
10.6	565
10.7	449
10.8	430
10.9	440
11.0	449
11.1	440
11.2	442
11.3	464
11.4	450
11.5	453
11.6	455
11.7	459
11.8	453
11.9	457
12.0	445
12.1	447
12.2	451
12.3	456
12.4	452
12.5	445
12.6	445
12.7	453
12.8	458
12.9	455
13.0	455
13.1	458
13.2	449
13.3	427
13.4	393
13.5	379
13.6	379
13.7	388
13.8	375
13.9	376
14.0	388
14.1	376
14.2	376
14.3	366
14.4	353
14.5	353
14.6	351
14.7	358
14.8	368
14.9	359
15.0	351
15.1	344
15.2	347
15.3	337
15.4	345
15.5	345
15.6	340
15.7	331
15.8	332
15.9	338
16.0	344
16.1	319
16.2	306
16.3	314
16.4	308
16.5	311
16.6	301
16.7	292
16.8	297
16.9	289
17.0	285
17.1	285
17.2	278
17.3	271
17.4	274
17.5	272
17.6	264
17.7	268
17.8	250
17.9	266
18.0	278
18.1	284
18.2	291
18.3	334
18.4	328
18.5	289
18.6	284
18.7	287
18.8	290
18.9	272
19.0	279
19.1	261
19.2	256
19.3	257
19.4	246
19.5	234
19.6	242
19.7	236
19.8	223
19.9	221
20.0	221
20.1	213
20.2	221
20.3	222
20.4	236
20.5	278
20.6	412
20.7	656
20.8	583
20.9	454
21.0	298
21.1	242
21.2	206
21.3	192
21.4	181
21.5	198
21.6	242
21.7	229
21.8	198
21.9	180
22.0	166
22.1	159
22.2	156
22.3	147
22.4	145
22.5	151
22.6	157
22.7	163
22.8	141
22.9	135
23.0	138
23.1	127
23.2	125
23.3	121
23.4	125
23.5	120
23.6	113
23.7	114
23.8	103
23.9	106
24.0	108
24.1	104
24.2	102
24.3	101
24.4	98
24.5	98
24.6	102
24.7	100
24.8	95
24.9	88
25.0	85
