Time	X-ray (ID 01) / Impulse Imp	X-ray (ID 01) / Voltage U	X-ray (ID 01) / Current I	X-ray (ID 01) / Detector angle ?_d	X-ray (ID 01) / Crystal angle ?_c
t/s	Imp/# / s	U/kV	I/mA	?_d/°	?_c/°

0.00	12648	35.0	1.00	0.0	0.0
1.00	12571	35.0	1.00	0.2	0.1
2.00	12474	35.0	1.00	0.4	0.2
3.00	12448	35.0	1.00	0.6	0.3
4.00	12462	35.0	1.00	0.8	0.4
5.00	12428	35.0	1.00	1.0	0.5
6.00	12441	35.0	1.00	1.2	0.6
7.00	12493	35.0	1.00	1.4	0.7
8.00	12498	35.0	1.00	1.6	0.8
9.00	12531	35.0	1.00	1.8	0.9
10.00	12536	35.0	1.00	2.0	1.0
11.00	12563	35.0	1.00	2.2	1.1
12.00	12504	35.0	1.00	2.4	1.2
13.00	12390	35.0	1.00	2.6	1.3
14.00	12144	35.0	1.00	2.8	1.4
15.00	11179	35.0	1.00	3.0	1.5
16.00	10204	35.0	1.00	3.2	1.6
17.00	10044	35.0	1.00	3.4	1.7
18.00	10319	35.0	1.00	3.6	1.8
19.00	10426	35.0	1.00	3.8	1.9
20.00	10292	35.0	1.00	4.0	2.0
21.00	10056	35.0	1.00	4.2	2.1
22.00	9721	35.0	1.00	4.4	2.2
23.00	9263	35.0	1.00	4.6	2.3
24.00	8364	35.0	1.00	4.8	2.4
25.00	7170	35.0	1.00	5.0	2.5
26.00	5146	35.0	1.00	5.2	2.6
27.00	3542	35.0	1.00	5.4	2.7
28.00	2426	35.0	1.00	5.6	2.8
29.00	1649	35.0	1.00	5.8	2.9
30.00	1109	35.0	1.00	6.0	3.0
31.00	680	35.0	1.00	6.2	3.1
32.00	437	35.0	1.00	6.4	3.2
33.00	286	35.0	1.00	6.6	3.3
34.00	210	35.0	1.00	6.8	3.4
35.00	212	35.0	1.00	7.0	3.5
36.00	200	35.0	1.00	7.2	3.6
37.00	165	35.0	1.00	7.4	3.7
38.00	151	35.0	1.00	7.6	3.8
39.00	138	35.0	1.00	7.8	3.9
40.00	110	35.0	1.00	8.0	4.0
41.00	77	35.0	1.00	8.2	4.1
42.00	80	35.0	1.00	8.4	4.2
43.00	74	35.0	1.00	8.6	4.3
44.00	52	35.0	1.00	8.8	4.4
45.00	58	35.0	1.00	9.0	4.5
46.00	42	35.0	1.00	9.2	4.6
47.00	45	35.0	1.00	9.4	4.7
48.00	43	35.0	1.00	9.6	4.8
49.00	53	35.0	1.00	9.8	4.9
50.00	37	35.0	1.00	10.0	5.0
51.00	55	35.0	1.00	10.2	5.1
52.00	54	35.0	1.00	10.4	5.2
53.00	65	35.0	1.00	10.6	5.3
54.00	100	35.0	1.00	10.8	5.4
55.00	114	35.0	1.00	11.0	5.5
56.00	132	35.0	1.00	11.2	5.6
57.00	134	35.0	1.00	11.4	5.7
58.00	138	35.0	1.00	11.6	5.8
59.00	159	35.0	1.00	11.8	5.9
60.00	155	35.0	1.00	12.0	6.0
61.00	180	35.0	1.00	12.2	6.1
62.00	201	35.0	1.00	12.4	6.2
63.00	174	35.0	1.00	12.6	6.3
64.00	185	35.0	1.00	12.8	6.4
65.00	195	35.0	1.00	13.0	6.5
66.00	214	35.0	1.00	13.2	6.6
67.00	229	35.0	1.00	13.4	6.7
68.00	200	35.0	1.00	13.6	6.8
69.00	224	35.0	1.00	13.8	6.9
70.00	217	35.0	1.00	14.0	7.0
71.00	220	35.0	1.00	14.2	7.1
72.00	236	35.0	1.00	14.4	7.2
73.00	241	35.0	1.00	14.6	7.3
74.00	263	35.0	1.00	14.8	7.4
75.00	267	35.0	1.00	15.0	7.5
76.00	245	35.0	1.00	15.2	7.6
77.00	241	35.0	1.00	15.4	7.7
78.00	253	35.0	1.00	15.6	7.8
79.00	243	35.0	1.00	15.8	7.9
80.00	233	35.0	1.00	16.0	8.0
81.00	265	35.0	1.00	16.2	8.1
82.00	274	35.0	1.00	16.4	8.2
83.00	240	35.0	1.00	16.6	8.3
84.00	272	35.0	1.00	16.8	8.4
85.00	293	35.0	1.00	17.0	8.5
86.00	249	35.0	1.00	17.2	8.6
87.00	291	35.0	1.00	17.4	8.7
88.00	306	35.0	1.00	17.6	8.8
89.00	265	35.0	1.00	17.8	8.9
90.00	277	35.0	1.00	18.0	9.0
91.00	264	35.0	1.00	18.2	9.1
92.00	275	35.0	1.00	18.4	9.2
93.00	278	35.0	1.00	18.6	9.3
