X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

0.0	12520
0.1	12488
0.2	12487
0.3	12484
0.4	12475
0.5	12470
0.6	12447
0.7	12397
0.8	12289
0.9	11290
1.0	8759
1.1	7037
1.2	6876
1.3	7889
1.4	9583
1.5	11059
1.6	11444
1.7	11458
1.8	11279
1.9	10755
2.0	9824
2.1	8361
2.2	6013
2.3	3385
2.4	1869
2.5	1120
2.6	845
2.7	646
2.8	480
2.9	403
3.0	343
3.1	312
3.2	274
3.3	227
3.4	205
3.5	170
3.6	159
3.7	138
3.8	141
3.9	129
4.0	138
4.1	136
4.2	143
4.3	133
4.4	149
4.5	147
4.6	155
4.7	157
4.8	153
4.9	155
5.0	158
5.1	162
5.2	178
5.3	174
5.4	188
5.5	174
5.6	172
5.7	182
5.8	177
5.9	183
6.0	188
6.1	183
6.2	224
6.3	291
6.4	447
6.5	384
6.6	224
6.7	229
6.8	238
6.9	249
7.0	299
7.1	679
7.2	1795
7.3	1095
7.4	298
7.5	250
7.6	241
7.7	246
7.8	255
7.9	251
8.0	269
8.1	262
8.2	263
8.3	266
8.4	275
8.5	281
8.6	281
8.7	266
8.8	260
8.9	277
9.0	281
9.1	274
9.2	273
9.3	271
9.4	244
9.5	241
9.6	236
9.7	232
9.8	239
9.9	234
10.0	241
