X,Y,X_U,Y_U
Angle,Impulses,,
3.1,297,0,0
3.2,248,0,0
3.3,226,0,0
3.4,188,0,0
3.5,158,0,0
3.6,137,0,0
3.7,120,0,0
3.8,125,0,0
3.9,127,0,0
4,119,0,0
4.1,119,0,0
4.2,134,0,0
4.3,136,0,0
4.4,130,0,0
4.5,119,0,0
4.6,144,0,0
4.7,144,0,0
4.8,122,0,0
4.9,138,0,0
5,146,0,0
5.1,133,0,0
5.2,135,0,0
5.3,163,0,0
5.4,170,0,0
5.5,149,0,0
5.6,167,0,0
5.7,162,0,0
5.8,157,0,0
5.9,181,0,0
6,177,0,0
6.1,178,0,0
6.2,175,0,0
6.3,217,0,0
6.4,389,0,0
6.5,492,0,0
6.6,219,0,0
6.7,216,0,0
6.8,198,0,0
6.9,247,0,0
7,248,0,0
7.1,456,0,0
7.2,1243,0,0
7.3,1521,0,0
7.4,355,0,0
7.5,238,0,0
7.6,229,0,0
7.7,233,0,0
7.8,240,0,0
7.9,241,0,0
8,272,0,0
8.1,261,0,0
8.2,268,0,0
8.3,271,0,0
8.4,278,0,0
8.5,279,0,0
8.6,285,0,0
8.7,287,0,0
8.8,261,0,0
8.9,280,0,0
9,291,0,0
9.1,279,0,0
9.2,270,0,0
9.3,275,0,0
9.4,266,0,0
9.5,239,0,0
9.6,243,0,0
9.7,264,0,0
9.8,254,0,0
9.9,233,0,0
10,217,0,0
10.1,234,0,0
10.2,241,0,0
10.3,216,0,0
10.4,212,0,0
10.5,200,0,0
10.6,202,0,0
10.7,224,0,0
10.8,209,0,0
10.9,203,0,0
11,204,0,0
11.1,197,0,0
11.2,199,0,0
11.3,203,0,0
11.4,201,0,0
11.5,170,0,0
11.6,186,0,0
11.7,179,0,0
11.8,162,0,0
11.9,174,0,0
12,173,0,0
12.1,162,0,0
12.2,168,0,0
12.3,171,0,0
12.4,158,0,0
12.5,159,0,0
12.6,156,0,0
12.7,173,0,0
12.8,200,0,0
12.9,272,0,0
13,249,0,0
13.1,166,0,0
13.2,172,0,0
13.3,156,0,0
13.4,166,0,0
13.5,154,0,0
13.6,156,0,0
13.7,143,0,0
13.8,153,0,0
13.9,147,0,0
14,148,0,0
14.1,136,0,0
14.2,126,0,0
14.3,151,0,0
14.4,180,0,0
14.5,514,0,0
14.6,624,0,0
14.7,329,0,0
14.8,138,0,0
14.9,120,0,0
15,115,0,0
15.1,128,0,0
15.2,136,0,0
15.3,112,0,0
15.4,124,0,0
15.5,105,0,0
15.6,100,0,0
15.7,112,0,0
15.8,101,0,0
15.9,103,0,0
16,102,0,0
16.1,104,0,0
16.2,90,0,0
16.3,85,0,0
16.4,76,0,0
16.5,101,0,0
16.6,88,0,0
16.7,69,0,0
16.8,88,0,0
16.9,92,0,0
17,84,0,0
17.1,75,0,0
17.2,82,0,0
17.3,66,0,0
17.4,68,0,0
17.5,88,0,0
17.6,76,0,0
17.7,76,0,0
17.8,65,0,0
17.9,66,0,0
18,68,0,0
18.1,68,0,0
18.2,66,0,0
18.3,50,0,0
18.4,54,0,0
18.5,67,0,0
18.6,56,0,0
18.7,54,0,0
18.8,60,0,0
18.9,56,0,0
19,51,0,0
19.1,54,0,0
19.2,55,0,0
19.3,54,0,0
19.4,50,0,0
19.5,73,0,0
19.6,75,0,0
19.7,75,0,0
19.8,43,0,0
19.9,56,0,0
20,47,0,0
20.1,46,0,0
20.2,39,0,0
20.3,49,0,0
20.4,54,0,0
20.5,50,0,0
20.6,40,0,0
20.7,52,0,0
20.8,49,0,0
20.9,33,0,0
21,39,0,0
21.1,39,0,0
21.2,41,0,0
21.3,32,0,0
21.4,43,0,0
21.5,44,0,0
21.6,40,0,0
21.7,45,0,0
21.8,47,0,0
21.9,43,0,0
22,71,0,0
22.1,181,0,0
22.2,148,0,0
22.3,94,0,0
22.4,58,0,0
22.5,39,0,0
22.6,47,0,0
22.7,34,0,0
22.8,46,0,0
22.9,40,0,0
23,32,0,0
23.1,37,0,0
23.2,36,0,0
23.3,36,0,0
23.4,38,0,0
23.5,34,0,0
23.6,32,0,0
23.7,29,0,0
23.8,36,0,0
23.9,34,0,0
24,33,0,0
24.1,30,0,0
24.2,31,0,0
24.3,24,0,0
24.4,29,0,0
24.5,28,0,0
24.6,38,0,0
24.7,34,0,0
24.8,28,0,0
24.9,36,0,0
25,33,0,0
25.1,26,0,0
25.2,28,0,0
25.3,27,0,0
25.4,31,0,0
25.5,28,0,0
25.6,19,0,0
25.7,33,0,0
25.8,26,0,0
25.9,28,0,0
26,22,0,0
26.1,28,0,0
26.2,29,0,0
26.3,24,0,0
26.4,24,0,0
26.5,25,0,0
26.6,35,0,0
26.7,27,0,0
26.8,24,0,0
26.9,30,0,0
27,26,0,0
27.1,23,0,0
27.2,23,0,0
27.3,27,0,0
27.4,28,0,0
27.5,26,0,0
27.6,21,0,0
27.7,20,0,0
27.8,25,0,0
27.9,22,0,0
28,26,0,0
28.1,25,0,0
28.2,23,0,0
28.3,22,0,0
28.4,23,0,0
28.5,25,0,0
28.6,24,0,0
28.7,21,0,0
28.8,22,0,0
28.9,25,0,0
29,29,0,0
29.1,19,0,0
29.2,22,0,0
29.3,25,0,0
29.4,26,0,0
29.5,22,0,0
29.6,27,0,0
29.7,28,0,0
29.8,19,0,0
29.9,25,0,0
30,25,0,0
