X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

0.0	3175
0.1	6672
0.2	11564
0.3	12528
0.4	12620
0.5	12566
0.6	12583
0.7	12576
0.8	12549
0.9	12560
1.0	12549
1.1	12521
1.2	12466
1.3	12453
1.4	12109
1.5	10243
1.6	7715
1.7	6631
1.8	7244
1.9	8590
2.0	10376
2.1	11189
2.2	11466
2.3	11352
2.4	11155
2.5	10576
2.6	9576
2.7	7821
2.8	5083
2.9	2952
3.0	1560
3.1	1029
3.2	806
3.3	622
3.4	494
3.5	398
3.6	335
3.7	311
3.8	279
3.9	231
4.0	217
4.1	168
4.2	137
4.3	121
4.4	108
4.5	92
4.6	84
4.7	82
4.8	80
4.9	83
5.0	79
5.1	91
5.2	83
5.3	76
5.4	108
5.5	102
5.6	106
5.7	101
5.8	102
5.9	105
6.0	103
6.1	106
6.2	108
6.3	110
6.4	118
6.5	119
6.6	117
6.7	116
6.8	105
6.9	126
7.0	128
7.1	122
7.2	110
7.3	109
7.4	126
7.5	117
7.6	108
7.7	132
7.8	115
7.9	136
8.0	127
8.1	114
8.2	118
8.3	126
8.4	117
8.5	123
8.6	132
8.7	110
8.8	119
8.9	134
9.0	163
9.1	287
9.2	302
9.3	191
9.4	165
9.5	146
9.6	142
9.7	135
9.8	148
9.9	142
10.0	150
10.1	163
10.2	488
10.3	1223
10.4	824
10.5	378
10.6	225
10.7	164
10.8	145
10.9	152
11.0	147
11.1	136
11.2	140
11.3	150
11.4	147
11.5	142
11.6	141
11.7	150
11.8	129
11.9	138
12.0	138
12.1	143
12.2	141
12.3	136
12.4	145
12.5	114
12.6	136
12.7	135
12.8	137
12.9	124
13.0	133
13.1	135
13.2	129
13.3	111
13.4	112
13.5	114
13.6	117
13.7	105
13.8	102
13.9	120
14.0	111
14.1	99
14.2	114
14.3	109
14.4	98
14.5	115
14.6	116
14.7	99
14.8	107
14.9	96
15.0	108
15.1	108
15.2	107
15.3	102
15.4	103
15.5	91
15.6	91
15.7	97
15.8	87
15.9	90
16.0	96
16.1	92
16.2	83
16.3	75
16.4	85
16.5	83
16.6	85
16.7	81
16.8	83
16.9	88
17.0	83
17.1	82
17.2	85
17.3	78
17.4	76
17.5	69
17.6	73
17.7	78
17.8	74
17.9	80
18.0	78
18.1	62
18.2	80
18.3	76
18.4	71
18.5	102
18.6	85
18.7	75
18.8	69
18.9	71
19.0	77
19.1	76
19.2	66
19.3	64
19.4	59
19.5	66
19.6	73
19.7	65
19.8	62
19.9	66
20.0	61
20.1	54
20.2	56
20.3	56
20.4	77
20.5	65
20.6	56
20.7	57
20.8	121
20.9	219
21.0	204
21.1	135
21.2	60
21.3	46
21.4	51
21.5	49
21.6	50
21.7	61
21.8	60
21.9	46
22.0	52
22.1	51
22.2	54
22.3	41
22.4	51
22.5	48
22.6	40
22.7	50
22.8	47
22.9	44
23.0	39
23.1	34
23.2	39
23.3	38
23.4	36
23.5	43
23.6	35
23.7	45
23.8	30
23.9	29
24.0	30
24.1	32
24.2	26
24.3	27
24.4	36
24.5	32
24.6	30
24.7	35
24.8	31
24.9	33
25.0	35
25.1	32
25.2	34
25.3	35
25.4	27
25.5	28
25.6	20
25.7	33
25.8	24
25.9	24
26.0	28
26.1	26
26.2	27
26.3	27
26.4	29
26.5	25
26.6	26
26.7	23
26.8	26
26.9	24
27.0	23
27.1	28
27.2	27
27.3	22
27.4	24
27.5	28
27.6	17
27.7	20
27.8	23
27.9	26
28.0	25
28.1	20
28.2	24
28.3	34
28.4	29
28.5	30
28.6	25
28.7	25
28.8	29
28.9	14
29.0	19
29.1	26
29.2	20
29.3	16
29.4	17
29.5	22
29.6	19
29.7	18
29.8	24
29.9	21
30.0	20
