X,Y,X_U,Y_U
Angle,Impulses,,
3,315,0,0
3.1,278,0,0
3.2,249,0,0
3.3,230,0,0
3.4,192,0,0
3.5,179,0,0
3.6,149,0,0
3.7,142,0,0
3.8,124,0,0
3.9,109,0,0
4,110,0,0
4.1,106,0,0
4.2,101,0,0
4.3,84,0,0
4.4,89,0,0
4.5,83,0,0
4.6,87,0,0
4.7,91,0,0
4.8,76,0,0
4.9,78,0,0
5,67,0,0
5.1,70,0,0
5.2,94,0,0
5.3,73,0,0
5.4,85,0,0
5.5,73,0,0
5.6,72,0,0
5.7,76,0,0
5.8,75,0,0
5.9,84,0,0
6,79,0,0
6.1,76,0,0
6.2,71,0,0
6.3,69,0,0
6.4,66,0,0
6.5,81,0,0
6.6,80,0,0
6.7,70,0,0
6.8,81,0,0
6.9,76,0,0
7,73,0,0
7.1,74,0,0
7.2,82,0,0
7.3,78,0,0
7.4,82,0,0
7.5,76,0,0
7.6,85,0,0
7.7,76,0,0
7.8,84,0,0
7.9,69,0,0
8,78,0,0
8.1,70,0,0
8.2,73,0,0
8.3,87,0,0
8.4,70,0,0
8.5,74,0,0
8.6,66,0,0
8.7,71,0,0
8.8,78,0,0
8.9,64,0,0
9,71,0,0
9.1,83,0,0
9.2,76,0,0
9.3,82,0,0
9.4,65,0,0
9.5,78,0,0
9.6,73,0,0
9.7,71,0,0
9.8,79,0,0
9.9,71,0,0
10,61,0,0
10.1,60,0,0
10.2,68,0,0
10.3,58,0,0
10.4,72,0,0
10.5,69,0,0
10.6,67,0,0
10.7,64,0,0
10.8,75,0,0
10.9,58,0,0
11,62,0,0
11.1,73,0,0
11.2,75,0,0
11.3,61,0,0
11.4,70,0,0
11.5,60,0,0
11.6,63,0,0
11.7,57,0,0
11.8,62,0,0
11.9,58,0,0
12,73,0,0
12.1,50,0,0
12.2,60,0,0
12.3,47,0,0
12.4,53,0,0
12.5,57,0,0
12.6,66,0,0
12.7,55,0,0
12.8,50,0,0
12.9,50,0,0
13,46,0,0
13.1,51,0,0
13.2,50,0,0
13.3,41,0,0
13.4,40,0,0
13.5,51,0,0
13.6,51,0,0
13.7,39,0,0
13.8,53,0,0
13.9,52,0,0
14,42,0,0
14.1,48,0,0
14.2,51,0,0
14.3,42,0,0
14.4,59,0,0
14.5,52,0,0
14.6,53,0,0
14.7,51,0,0
14.8,58,0,0
14.9,49,0,0
15,40,0,0
15.1,44,0,0
15.2,44,0,0
15.3,37,0,0
15.4,36,0,0
15.5,34,0,0
15.6,35,0,0
15.7,47,0,0
15.8,44,0,0
15.9,44,0,0
16,32,0,0
16.1,41,0,0
16.2,49,0,0
16.3,39,0,0
16.4,46,0,0
16.5,49,0,0
16.6,31,0,0
16.7,42,0,0
16.8,29,0,0
16.9,45,0,0
17,37,0,0
17.1,35,0,0
17.2,41,0,0
17.3,43,0,0
17.4,34,0,0
17.5,40,0,0
17.6,41,0,0
17.7,47,0,0
17.8,40,0,0
17.9,37,0,0
18,40,0,0
18.1,35,0,0
18.2,35,0,0
18.3,38,0,0
18.4,29,0,0
18.5,46,0,0
18.6,31,0,0
18.7,36,0,0
18.8,36,0,0
18.9,33,0,0
19,32,0,0
19.1,37,0,0
19.2,29,0,0
19.3,32,0,0
19.4,32,0,0
19.5,26,0,0
19.6,34,0,0
19.7,35,0,0
19.8,34,0,0
19.9,37,0,0
20,26,0,0
20.1,32,0,0
20.2,37,0,0
20.3,36,0,0
20.4,31,0,0
20.5,38,0,0
20.6,23,0,0
20.7,40,0,0
20.8,31,0,0
20.9,35,0,0
21,27,0,0
21.1,31,0,0
21.2,29,0,0
21.3,35,0,0
21.4,41,0,0
21.5,36,0,0
21.6,32,0,0
21.7,32,0,0
21.8,34,0,0
21.9,29,0,0
22,32,0,0
22.1,35,0,0
22.2,32,0,0
22.3,40,0,0
22.4,28,0,0
22.5,27,0,0
22.6,38,0,0
22.7,30,0,0
22.8,30,0,0
22.9,27,0,0
23,29,0,0
23.1,32,0,0
23.2,32,0,0
23.3,22,0,0
23.4,31,0,0
23.5,26,0,0
23.6,28,0,0
23.7,22,0,0
23.8,27,0,0
23.9,31,0,0
24,26,0,0
24.1,25,0,0
24.2,26,0,0
24.3,28,0,0
24.4,30,0,0
24.5,25,0,0
24.6,22,0,0
24.7,23,0,0
24.8,24,0,0
24.9,24,0,0
25,24,0,0
25.1,35,0,0
25.2,29,0,0
25.3,28,0,0
25.4,24,0,0
25.5,29,0,0
25.6,30,0,0
25.7,28,0,0
25.8,24,0,0
25.9,23,0,0
26,24,0,0
26.1,22,0,0
26.2,28,0,0
26.3,29,0,0
26.4,24,0,0
26.5,27,0,0
26.6,23,0,0
26.7,29,0,0
26.8,23,0,0
26.9,25,0,0
27,17,0,0
27.1,27,0,0
27.2,23,0,0
27.3,28,0,0
27.4,17,0,0
27.5,20,0,0
27.6,18,0,0
27.7,21,0,0
27.8,26,0,0
27.9,28,0,0
28,27,0,0
28.1,23,0,0
28.2,20,0,0
28.3,28,0,0
28.4,22,0,0
28.5,21,0,0
28.6,21,0,0
28.7,19,0,0
28.8,22,0,0
28.9,21,0,0
29,27,0,0
29.1,23,0,0
29.2,22,0,0
29.3,21,0,0
29.4,18,0,0
29.5,22,0,0
29.6,24,0,0
29.7,23,0,0
29.8,19,0,0
29.9,19,0,0
30,19,0,0
