X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

0.0	7150
0.1	11477
0.2	12581
0.3	12612
0.4	12559
0.5	12509
0.6	12493
0.7	12505
0.8	12523
0.9	12509
1.0	12445
1.1	12205
1.2	10931
1.3	8663
1.4	6240
1.5	4479
1.6	4971
1.7	6871
1.8	8408
1.9	9035
2.0	8921
2.1	8405
2.2	7447
2.3	5502
2.4	3725
2.5	2527
2.6	1619
2.7	1048
2.8	621
2.9	347
3.0	226
3.1	204
3.2	179
3.3	159
3.4	141
3.5	131
3.6	117
3.7	104
3.8	89
3.9	82
4.0	70
4.1	64
4.2	56
4.3	57
4.4	54
4.5	49
4.6	48
4.7	50
4.8	50
4.9	46
5.0	48
5.1	45
5.2	48
5.3	46
5.4	49
5.5	50
5.6	48
5.7	48
5.8	49
5.9	50
6.0	47
6.1	49
6.2	48
6.3	51
6.4	53
6.5	59
6.6	58
6.7	63
6.8	67
6.9	74
7.0	79
7.1	76
7.2	83
7.3	78
7.4	85
7.5	87
7.6	81
7.7	87
7.8	89
7.9	83
8.0	84
8.1	87
8.2	84
8.3	76
8.4	87
8.5	85
8.6	83
8.7	79
8.8	82
8.9	78
9.0	81
9.1	80
9.2	82
9.3	81
9.4	73
9.5	79
9.6	78
9.7	72
9.8	76
9.9	75
10.0	70
10.1	74
10.2	74
10.3	68
10.4	74
10.5	70
10.6	67
10.7	70
10.8	63
10.9	66
11.0	66
11.1	61
11.2	65
11.3	61
11.4	60
11.5	65
11.6	61
11.7	60
11.8	63
11.9	59
12.0	64
12.1	64
12.2	66
12.3	85
12.4	89
12.5	81
12.6	58
12.7	60
12.8	54
12.9	59
13.0	53
13.1	56
13.2	55
13.3	57
13.4	72
13.5	97
13.6	132
13.7	170
13.8	145
13.9	86
14.0	55
14.1	56
14.2	51
14.3	54
14.4	51
14.5	53
14.6	52
14.7	50
14.8	50
14.9	48
15.0	49
15.1	45
15.2	46
15.3	50
15.4	47
15.5	45
15.6	50
15.7	49
15.8	50
15.9	55
16.0	50
16.1	50
16.2	45
16.3	45
16.4	41
16.5	40
16.6	40
16.7	34
16.8	34
16.9	35
17.0	36
17.1	38
17.2	35
17.3	34
17.4	32
17.5	33
17.6	33
17.7	32
17.8	33
17.9	30
18.0	31
18.1	29
18.2	31
18.3	29
18.4	31
18.5	27
18.6	27
18.7	30
18.8	29
18.9	31
19.0	29
19.1	27
19.2	24
19.3	27
19.4	27
19.5	27
19.6	25
19.7	24
19.8	25
19.9	23
20.0	26
