X,Y,X_U,Y_U
E_A#8 / keV,N_A#8,,
1123.4,0,0,0
1124.4,0,0,0
1125.3,0,0,0
1126.2,11,0,0
1127.2,49,0,0
1128.1,53,0,0
1129,49,0,0
1130,59,0,0
1130.9,47,0,0
1131.8,57,0,0
1132.8,70,0,0
1133.7,67,0,0
1134.7,92,0,0
1135.6,69,0,0
1136.5,73,0,0
1137.5,80,0,0
1138.4,87,0,0
1139.3,101,0,0
1140.3,91,0,0
1141.2,91,0,0
1142.1,104,0,0
1143.1,126,0,0
1144,136,0,0
1144.9,133,0,0
1145.9,125,0,0
1146.8,121,0,0
1147.7,141,0,0
1148.7,142,0,0
1149.6,159,0,0
1150.6,175,0,0
1151.5,190,0,0
1152.4,204,0,0
1153.4,224,0,0
1154.3,254,0,0
1155.2,266,0,0
1156.2,242,0,0
1157.1,240,0,0
1158,233,0,0
1159,211,0,0
1159.9,180,0,0
1160.8,187,0,0
1161.8,212,0,0
1162.7,229,0,0
1163.6,220,0,0
1164.6,191,0,0
1165.5,184,0,0
1166.5,200,0,0
1167.4,200,0,0
1168.3,190,0,0
1169.3,213,0,0
1170.2,191,0,0
1171.1,183,0,0
1172.1,192,0,0
1173,217,0,0
1173.9,195,0,0
1174.9,188,0,0
1175.8,188,0,0
1176.7,173,0,0
1177.7,175,0,0
1178.6,173,0,0
1179.5,180,0,0
1180.5,158,0,0
1181.4,189,0,0
1182.4,176,0,0
1183.3,183,0,0
1184.2,160,0,0
1185.2,167,0,0
1186.1,195,0,0
1187,170,0,0
1188,163,0,0
1188.9,169,0,0
1189.8,156,0,0
1190.8,183,0,0
1191.7,154,0,0
1192.6,160,0,0
1193.6,138,0,0
1194.5,149,0,0
1195.4,152,0,0
1196.4,145,0,0
1197.3,163,0,0
1198.3,163,0,0
1199.2,166,0,0
1200.1,165,0,0
1201.1,148,0,0
1202,149,0,0
1202.9,149,0,0
1203.9,149,0,0
1204.8,168,0,0
1205.7,153,0,0
1206.7,155,0,0
1207.6,135,0,0
1208.5,151,0,0
1209.5,135,0,0
1210.4,136,0,0
1211.3,158,0,0
1212.3,115,0,0
1213.2,156,0,0
1214.2,131,0,0
1215.1,139,0,0
1216,120,0,0
1217,119,0,0
1217.9,116,0,0
1218.8,114,0,0
1219.8,127,0,0
1220.7,96,0,0
1221.6,121,0,0
