X,Y,X_U,Y_U
Energy,Impulses,,
3.15,0,0,0
3.16,0,0,0
3.17,0,0,0
3.17,0,0,0
3.18,0,0,0
3.19,0,0,0
3.2,0,0,0
3.2,0,0,0
3.21,0,0,0
3.22,0,0,0
3.23,0,0,0
3.23,0,0,0
3.24,0,0,0
3.25,0,0,0
3.26,0,0,0
3.26,0,0,0
3.27,0,0,0
3.28,0,0,0
3.29,0,0,0
3.29,0,0,0
3.3,0,0,0
3.31,0,0,0
3.32,0,0,0
3.33,0,0,0
3.33,0,0,0
3.34,0,0,0
3.35,0,0,0
3.36,0,0,0
3.36,0,0,0
3.37,0,0,0
3.38,0,0,0
3.39,0,0,0
3.39,0,0,0
3.4,0,0,0
3.41,0,0,0
3.42,0,0,0
3.42,0,0,0
3.43,0,0,0
3.44,0,0,0
3.45,0,0,0
3.45,0,0,0
3.46,0,0,0
3.47,0,0,0
3.48,0,0,0
3.48,0,0,0
3.49,0,0,0
3.5,0,0,0
3.51,0,0,0
3.51,0,0,0
3.52,0,0,0
3.53,0,0,0
3.54,0,0,0
3.54,2,0,0
3.55,1,0,0
3.56,5,0,0
3.57,1,0,0
3.58,5,0,0
3.58,1,0,0
3.59,8,0,0
3.6,12,0,0
3.61,9,0,0
3.61,30,0,0
3.62,28,0,0
3.63,31,0,0
3.64,20,0,0
3.64,32,0,0
3.65,36,0,0
3.66,38,0,0
3.67,49,0,0
3.67,28,0,0
3.68,33,0,0
3.69,28,0,0
3.7,35,0,0
3.7,48,0,0
3.71,36,0,0
3.72,36,0,0
3.73,34,0,0
3.73,29,0,0
3.74,29,0,0
3.75,38,0,0
3.76,29,0,0
3.76,32,0,0
3.77,37,0,0
3.78,44,0,0
3.79,31,0,0
3.79,23,0,0
3.8,45,0,0
3.81,31,0,0
3.82,28,0,0
3.83,51,0,0
3.83,25,0,0
3.84,34,0,0
3.85,35,0,0
3.86,31,0,0
3.86,34,0,0
3.87,55,0,0
3.88,26,0,0
3.89,28,0,0
3.89,44,0,0
3.9,32,0,0
3.91,35,0,0
3.92,29,0,0
3.92,29,0,0
3.93,30,0,0
3.94,21,0,0
3.95,33,0,0
3.95,30,0,0
3.96,33,0,0
3.97,41,0,0
3.98,31,0,0
3.98,29,0,0
3.99,36,0,0
4,26,0,0
