X,Y,X_U,Y_U
Energy,Impulses,,
16.59,1,0,0
16.6,2,0,0
16.61,1,0,0
16.61,2,0,0
16.62,1,0,0
16.63,0,0,0
16.64,1,0,0
16.64,0,0,0
16.65,1,0,0
16.66,1,0,0
16.67,2,0,0
16.67,0,0,0
16.68,1,0,0
16.69,1,0,0
16.7,1,0,0
16.71,2,0,0
16.71,0,0,0
16.72,2,0,0
16.73,0,0,0
16.74,0,0,0
16.74,4,0,0
16.75,1,0,0
16.76,0,0,0
16.77,2,0,0
16.77,3,0,0
16.78,3,0,0
16.79,1,0,0
16.8,4,0,0
16.8,1,0,0
16.81,1,0,0
16.82,2,0,0
16.83,0,0,0
16.83,3,0,0
16.84,0,0,0
16.85,1,0,0
16.86,1,0,0
16.86,1,0,0
16.87,1,0,0
16.88,2,0,0
16.89,2,0,0
16.89,0,0,0
16.9,0,0,0
16.91,3,0,0
16.92,2,0,0
16.92,0,0,0
16.93,1,0,0
16.94,1,0,0
16.95,1,0,0
16.96,2,0,0
16.96,0,0,0
16.97,0,0,0
16.98,1,0,0
16.99,3,0,0
16.99,3,0,0
17,2,0,0
17.01,1,0,0
17.02,1,0,0
17.02,1,0,0
17.03,1,0,0
17.04,1,0,0
17.05,0,0,0
17.05,1,0,0
17.06,3,0,0
17.07,2,0,0
17.08,3,0,0
17.08,1,0,0
17.09,3,0,0
17.1,4,0,0
17.11,3,0,0
17.11,2,0,0
17.12,0,0,0
17.13,0,0,0
17.14,3,0,0
17.14,4,0,0
17.15,2,0,0
17.16,0,0,0
17.17,8,0,0
17.17,4,0,0
17.18,1,0,0
17.19,4,0,0
17.2,1,0,0
17.21,3,0,0
17.21,2,0,0
17.22,3,0,0
17.23,3,0,0
17.24,1,0,0
17.24,5,0,0
17.25,3,0,0
17.26,4,0,0
17.27,3,0,0
17.27,5,0,0
17.28,1,0,0
17.29,1,0,0
17.3,1,0,0
17.3,6,0,0
17.31,4,0,0
17.32,2,0,0
17.33,3,0,0
17.33,3,0,0
17.34,4,0,0
17.35,8,0,0
17.36,9,0,0
17.36,2,0,0
17.37,0,0,0
17.38,3,0,0
17.39,5,0,0
17.39,5,0,0
17.4,4,0,0
17.41,4,0,0
17.42,8,0,0
17.42,5,0,0
17.43,3,0,0
17.44,3,0,0
17.45,1,0,0
17.46,5,0,0
17.46,5,0,0
17.47,5,0,0
17.48,4,0,0
17.49,8,0,0
17.49,5,0,0
17.5,10,0,0
17.51,6,0,0
17.52,8,0,0
17.52,2,0,0
17.53,11,0,0
17.54,5,0,0
17.55,9,0,0
17.55,10,0,0
17.56,4,0,0
17.57,5,0,0
17.58,9,0,0
17.58,5,0,0
17.59,7,0,0
17.6,14,0,0
17.61,3,0,0
17.61,4,0,0
17.62,5,0,0
17.63,1,0,0
17.64,8,0,0
17.64,8,0,0
17.65,9,0,0
17.66,8,0,0
17.67,8,0,0
17.67,9,0,0
17.68,4,0,0
17.69,6,0,0
17.7,5,0,0
17.71,7,0,0
17.71,5,0,0
17.72,6,0,0
17.73,6,0,0
17.74,8,0,0
17.74,5,0,0
17.75,3,0,0
17.76,9,0,0
17.77,6,0,0
17.77,10,0,0
17.78,6,0,0
17.79,5,0,0
17.8,6,0,0
17.8,4,0,0
17.81,4,0,0
17.82,9,0,0
17.83,6,0,0
17.83,3,0,0
17.84,7,0,0
17.85,3,0,0
17.86,2,0,0
17.86,4,0,0
17.87,2,0,0
17.88,3,0,0
17.89,7,0,0
17.89,7,0,0
17.9,6,0,0
17.91,8,0,0
17.92,4,0,0
17.93,4,0,0
17.93,2,0,0
17.94,4,0,0
17.95,3,0,0
17.96,2,0,0
17.96,4,0,0
17.97,0,0,0
17.98,2,0,0
17.99,8,0,0
17.99,2,0,0
18,3,0,0
18.01,4,0,0
18.02,1,0,0
18.02,4,0,0
18.03,2,0,0
18.04,1,0,0
18.05,2,0,0
18.05,1,0,0
18.06,2,0,0
18.07,2,0,0
18.08,3,0,0
18.08,1,0,0
18.09,7,0,0
18.1,3,0,0
18.11,4,0,0
18.11,2,0,0
18.12,2,0,0
18.13,2,0,0
18.14,0,0,0
18.14,2,0,0
18.15,3,0,0
18.16,2,0,0
18.17,1,0,0
18.18,2,0,0
18.18,2,0,0
18.19,0,0,0
18.2,2,0,0
18.21,1,0,0
18.21,3,0,0
18.22,1,0,0
18.23,2,0,0
18.24,1,0,0
18.24,2,0,0
18.25,0,0,0
18.26,1,0,0
18.27,1,0,0
18.27,2,0,0
18.28,0,0,0
18.29,1,0,0
18.3,0,0,0
18.3,0,0,0
18.31,1,0,0
18.32,3,0,0
18.33,2,0,0
18.33,0,0,0
18.34,0,0,0
18.35,2,0,0
18.36,1,0,0
18.36,1,0,0
18.37,1,0,0
18.38,1,0,0
18.39,0,0,0
18.39,2,0,0
18.4,1,0,0
18.41,1,0,0
18.42,0,0,0
18.43,1,0,0
18.43,2,0,0
18.44,0,0,0
18.45,1,0,0
18.46,2,0,0
18.46,0,0,0
18.47,2,0,0
18.48,1,0,0
18.49,2,0,0
18.49,0,0,0
18.5,3,0,0
18.51,1,0,0
18.52,1,0,0
18.52,1,0,0
18.53,0,0,0
18.54,0,0,0
