X,Y,X_U,Y_U
E_A#4 / keV,N_A#4,,
-214.5,0,0,0
-210.9,0,0,0
-207.3,1,0,0
-203.7,78,0,0
-200.1,227,0,0
-196.5,252,0,0
-192.8,240,0,0
-189.2,270,0,0
-185.6,277,0,0
-182,321,0,0
-178.4,294,0,0
-174.8,368,0,0
-171.2,363,0,0
-167.6,348,0,0
-164,408,0,0
-160.4,421,0,0
-156.8,428,0,0
-153.2,441,0,0
-149.6,443,0,0
-146,470,0,0
-142.4,410,0,0
-138.8,455,0,0
-135.2,439,0,0
-131.6,495,0,0
-127.9,483,0,0
-124.3,548,0,0
-120.7,623,0,0
-117.1,658,0,0
-113.5,722,0,0
-109.9,668,0,0
-106.3,638,0,0
-102.7,645,0,0
-99.1,554,0,0
-95.5,568,0,0
-91.9,564,0,0
-88.3,566,0,0
-84.7,568,0,0
-81.1,543,0,0
-77.5,547,0,0
-73.9,529,0,0
-70.3,571,0,0
-66.7,614,0,0
-63,531,0,0
-59.4,605,0,0
-55.8,621,0,0
-52.2,582,0,0
-48.6,625,0,0
-45,604,0,0
-41.4,621,0,0
-37.8,659,0,0
-34.2,626,0,0
-30.6,634,0,0
-27,675,0,0
-23.4,677,0,0
-19.8,696,0,0
-16.2,671,0,0
-12.6,656,0,0
-9,675,0,0
-5.4,630,0,0
-1.8,662,0,0
1.9,623,0,0
5.5,619,0,0
9.1,623,0,0
12.7,674,0,0
16.3,694,0,0
19.9,697,0,0
23.5,712,0,0
27.1,740,0,0
30.7,775,0,0
34.3,740,0,0
37.9,817,0,0
41.5,797,0,0
45.1,857,0,0
48.7,913,0,0
52.3,904,0,0
55.9,918,0,0
59.5,865,0,0
63.1,859,0,0
66.8,822,0,0
70.4,877,0,0
74,817,0,0
77.6,776,0,0
81.2,754,0,0
84.8,785,0,0
88.4,712,0,0
92,639,0,0
95.6,716,0,0
99.2,694,0,0
102.8,647,0,0
106.4,643,0,0
110,646,0,0
113.6,599,0,0
117.2,608,0,0
120.8,604,0,0
124.4,595,0,0
128,576,0,0
131.7,590,0,0
135.3,581,0,0
138.9,596,0,0
142.5,602,0,0
146.1,576,0,0
149.7,565,0,0
153.3,538,0,0
156.9,574,0,0
160.5,539,0,0
164.1,550,0,0
167.7,593,0,0
171.3,517,0,0
174.9,517,0,0
178.5,548,0,0
182.1,570,0,0
185.7,508,0,0
189.3,515,0,0
192.9,540,0,0
196.5,543,0,0
200.2,501,0,0
203.8,485,0,0
207.4,520,0,0
211,506,0,0
214.6,528,0,0
218.2,483,0,0
221.8,528,0,0
225.4,458,0,0
229,507,0,0
232.6,507,0,0
236.2,492,0,0
239.8,521,0,0
243.4,523,0,0
247,511,0,0
250.6,456,0,0
254.2,488,0,0
257.8,479,0,0
261.4,507,0,0
265.1,484,0,0
268.7,517,0,0
272.3,479,0,0
275.9,458,0,0
279.5,470,0,0
283.1,490,0,0
286.7,483,0,0
290.3,491,0,0
293.9,477,0,0
297.5,504,0,0
301.1,512,0,0
304.7,511,0,0
308.3,442,0,0
311.9,540,0,0
315.5,475,0,0
319.1,510,0,0
322.7,496,0,0
326.3,508,0,0
330,487,0,0
333.6,511,0,0
337.2,509,0,0
340.8,484,0,0
344.4,490,0,0
348,564,0,0
351.6,456,0,0
355.2,474,0,0
358.8,487,0,0
362.4,515,0,0
366,480,0,0
369.6,468,0,0
373.2,485,0,0
376.8,458,0,0
380.4,494,0,0
384,437,0,0
387.6,427,0,0
391.2,448,0,0
394.9,452,0,0
398.5,359,0,0
402.1,366,0,0
405.7,328,0,0
409.3,314,0,0
412.9,308,0,0
416.5,346,0,0
420.1,300,0,0
423.7,279,0,0
