X,Y,X_U,Y_U
Position,Light intensity,uncertinty in x,uncertinty in intensity
-0.0799,0.4,0,0
-0.0798,0.4,0,0
-0.0797,0.4,0,0
-0.0796,0.4,0,0
-0.0795,0.4,0,0
-0.0794,0.4,0,0
-0.0793,0.4,0,0
-0.0791,0.4,0,0
-0.079,0.4,0,0
-0.0788,0.4,0,0
-0.0787,0.4,0,0
-0.0786,0.4,0,0
-0.0785,0.4,0,0
-0.0784,0.4,0,0
-0.0783,0.4,0,0
-0.0782,0.4,0,0
-0.0781,0.4,0,0
-0.078,0.4,0,0
-0.0779,0.4,0,0
-0.0778,0.4,0,0
-0.0777,0.3,0,0
-0.0776,0.4,0,0
-0.0775,0.4,0,0
-0.0774,0.3333,0,0.001111112
-0.0773,0.4,0,0
-0.0772,0.3,0,0
-0.0771,0.35,0,0.0025
-0.077,0.3,0,0
-0.0769,0.3333,0,0.001111112
-0.0768,0.3333,0,0.001111112
-0.0766,0.35,0,0.0025
-0.0765,0.3,0,0
-0.0764,0.35,0,0.0025
-0.0763,0.3,0,0
-0.0762,0.3333,0,0.001111112
-0.0759,0.3333,0,0.001111112
-0.0757,0.35,0,0.0025
-0.0756,0.4,0,0
-0.0754,0.35,0,0.0025
-0.0753,0.3,0,0
-0.0752,0.35,0,0.0025
-0.0751,0.4,0,0
-0.075,0.4,0,0
-0.0747,0.4,0,0
-0.0746,0.4,0,0
-0.0745,0.4,0,0
-0.0744,0.4,0,0
-0.0743,0.4,0,0
-0.0742,0.4,0,0
-0.074,0.4,0,0
-0.0739,0.4,0,0
-0.0737,0.4,0,0
-0.0736,0.4,0,0
-0.0734,0.4,0,0
-0.0731,0.4,0,0
-0.0729,0.4,0,0
-0.0727,0.4,0,0
-0.0726,0.4,0,0
-0.0725,0.4,0,0
-0.0723,0.45,0,0.0025
-0.0722,0.4,0,0
-0.072,0.4,0,0
-0.0719,0.5,0,0
-0.0718,0.4,0,0
-0.0717,0.4,0,0
-0.0715,0.5,0,0
-0.0714,0.4,0,0
-0.0713,0.4,0,0
-0.0712,0.5,0,0
-0.0711,0.5,0,0
-0.071,0.5,0,0
-0.0709,0.5,0,0
-0.0708,0.5,0,0
-0.0707,0.5,0,0
-0.0706,0.5,0,0
-0.0705,0.5,0,0
-0.0704,0.5,0,0
-0.0702,0.5,0,0
-0.0701,0.5,0,0
-0.07,0.5,0,0
-0.0699,0.5,0,0
-0.0697,0.5,0,0
-0.0694,0.5,0,0
-0.0693,0.5,0,0
-0.0692,0.5,0,0
-0.0689,0.5,0,0
