X,Y,X_U,Y_U
E_A#2 / keV,,,
1153,0,0,0
1153.5,0,0,0
1153.9,0,0,0
1154.4,21,0,3
1154.8,51,0,3.605551275
1155.3,48,0,7.810249676
1155.7,61,0,7.810249676
1156.2,58.33333333,0,6.658328118
1156.6,69.66666667,0,5.507570547
1157.1,71.66666667,0,4.041451884
1157.6,76,0,6.244997998
1158,78.66666667,0,7.094598885
1158.5,82.66666667,0,5.033222957
1158.9,85.33333333,0,9.504384953
1159.4,84.33333333,0,5.507570547
1159.8,95.66666667,0,10.26320288
1160.3,95.33333333,0,14.571662
1160.7,105.3333333,0,3.511884584
1161.2,104,0,13.07669683
1161.6,113,0,12.52996409
1162.1,114.6666667,0,24.02776172
1162.6,127,0,9.16515139
1163,140.6666667,0,8.082903769
1163.5,140.6666667,0,8.386497084
1163.9,156.6666667,0,9.073771726
1164.4,158.6666667,0,8.736894948
1164.8,180.3333333,0,2.081665999
1165.3,179.3333333,0,25.73583753
1165.7,201.6666667,0,30.23794526
1166.2,202.3333333,0,14.50287328
1166.6,205.3333333,0,12.34233905
1167.1,198.6666667,0,27.53785274
1167.5,227,0,23.06512519
1168,237.6666667,0,17.24335621
1168.5,249,0,30.11644069
1168.9,223.6666667,0,1.527525232
1169.4,225,0,25.15949125
1169.8,230.6666667,0,18.7705443
1170.3,223.3333333,0,10.5039675
1170.7,232,0,8.717797887
1171.2,239,0,18.24828759
1171.6,232.6666667,0,6.506407099
1172.1,237,0,10.53565375
1172.5,233.3333333,0,37.80652501
1173,227.3333333,0,28.29016319
1173.5,222.3333333,0,30.0721355
1173.9,227.3333333,0,26.00640947
1174.4,220.6666667,0,13.65039682
1174.8,219.3333333,0,25.77466456
1175.3,228.3333333,0,18.87679351
1175.7,202.3333333,0,25.10644008
1176.2,207.6666667,0,9.073771726
1176.6,217.6666667,0,16.19670748
1177.1,208.3333333,0,9.073771726
1177.5,198.6666667,0,14.84362939
1178,201.3333333,0,15.27525232
1178.5,197,0,31.04834939
1178.9,213.3333333,0,16.86218649
1179.4,213.3333333,0,7.637626158
1179.8,190.6666667,0,7.371114796
1180.3,189.3333333,0,15.56705924
1180.7,196.6666667,0,8.326663998
1181.2,176.3333333,0,2.516611478
1181.6,182,0,11.53256259
1182.1,173.3333333,0,4.041451884
1182.5,188,0,12.12435565
1183,183.6666667,0,14.46835628
1183.4,188.3333333,0,11.06044002
1183.9,172,0,11
1184.4,188.6666667,0,12.42309677
1184.8,175.6666667,0,11.01514109
1185.3,178,0,15.87450787
1185.7,177,0,12.12435565
1186.2,174.6666667,0,4.041451884
1186.6,179,0,11.26942767
1187.1,180,0,12.12435565
1187.5,166.3333333,0,9.451631253
1188,178,0,2.645751311
1188.4,195,0,6.244997998
1188.9,182.3333333,0,3.511884584
1189.4,191.3333333,0,16.80277755
1189.8,175.6666667,0,7.234178138
1190.3,169,0,18.08314132
1190.7,168.6666667,0,3.055050463
1191.2,169.6666667,0,12.05542755
1191.6,158.6666667,0,4.725815626
1192.1,165.3333333,0,11.67618659
1192.5,157,0,10.53565375
1193,143,0,14.73091986
1193.4,159.3333333,0,18.33939294
1193.9,132.6666667,0,7.505553499
1194.4,139.6666667,0,4.509249753
1194.8,132.3333333,0,5.859465277
1195.3,129,0,14.4222051
1195.7,139.6666667,0,10.69267662
1196.2,136.6666667,0,18.58314649
1196.6,126.3333333,0,11.67618659
1197.1,117,0,7.810249676
1197.5,111,0,15.87450787
1198,109.3333333,0,2.081665999
1198.4,110,0,10.53565375
1198.9,114.6666667,0,5.686240703
1199.3,112.6666667,0,15.17673658
1199.8,116.3333333,0,14.46835628
1200.3,96.66666667,0,7.505553499
1200.7,104,0,4.358898944
1201.2,114.3333333,0,7.637626158
1201.6,100.3333333,0,9.609023537
1202.1,106,0,1
1202.5,109.3333333,0,9.712534856
1203,111.6666667,0,4.725815626
1203.4,98.66666667,0,7.637626158
1203.9,99.66666667,0,5.507570547
1204.3,109,0,8.660254038
1204.8,105.3333333,0,9.504384953
1205.3,96.33333333,0,4.725815626
1205.7,93.33333333,0,10.0166528
1206.2,88,0,5.291502622
1206.6,86.33333333,0,7.505553499
1207.1,94.33333333,0,6.658328118
1207.5,87.66666667,0,6.658328118
1208,84,0,4.582575695
1208.4,85.66666667,0,3.214550254
1208.9,92,0,6.557438524
1209.3,83.33333333,0,1.154700538
1209.8,86.66666667,0,6.806859286
1210.3,85,0,9.16515139
1210.7,91.66666667,0,6.806859286
1211.2,94,0,14.79864859
1211.6,83,0,10.14889157
1212.1,72.66666667,0,6.110100927
1212.5,84.66666667,0,7.571877794
1213,89,0,9.539392014
1213.4,80.33333333,0,7.023769169
1213.9,74,0,9.16515139
1214.3,75,0,7.549834435
1214.8,77.33333333,0,4.509249753
1215.2,75.33333333,0,2.309401077
1215.7,78.66666667,0,7.234178138
1216.2,69,0,4.358898944
1216.6,80.33333333,0,10.69267662
1217.1,69,0,9.539392014
1217.5,80.66666667,0,2.309401077
1218,78.33333333,0,4.509249753
1218.4,77.66666667,0,10.59874206
1218.9,73.66666667,0,10.26320288
1219.3,71,0,13.07669683
1219.8,77.33333333,0,4.041451884
1220.2,66,0,9.643650761
1220.7,80.66666667,0,16.86218649
1221.2,74,0,15.71623365
1221.6,61.33333333,0,5.686240703
1222.1,76,0,4.582575695
1222.5,77,0,6.244997998
1223,74,0,6.557438524
1223.4,74.33333333,0,13.0511813
1223.9,67.33333333,0,7.637626158
1224.3,57.66666667,0,5.507570547
1224.8,67,0,13
1225.2,76,0,11.53256259
1225.7,75,0,9.539392014
1226.2,72,0,21.63330765
1226.6,65.66666667,0,13.31665624
1227.1,65.33333333,0,6.350852961
1227.5,60.33333333,0,8.020806277
1228,63.33333333,0,10.96965511
1228.4,70.66666667,0,3.511884584
1228.9,73.66666667,0,10.11599394
1229.3,62.66666667,0,4.041451884
1229.8,64,0,8.717797887
1230.2,67.66666667,0,5.131601439
1230.7,70.33333333,0,4.932882862
1231.1,61.33333333,0,8.621678104
1231.6,64.33333333,0,6.110100927
1232.1,68,0,12
1232.5,63.66666667,0,6.110100927
1233,70.66666667,0,0.577350269
1233.4,67.66666667,0,6.110100927
1233.9,68,0,13.74772708
1234.3,66.66666667,0,4.041451884
1234.8,70.66666667,0,3.055050463
1235.2,67,0,2
1235.7,63.33333333,0,4.509249753
1236.1,63,0,1
1236.6,69.33333333,0,6.506407099
1237.1,63,0,5
1237.5,61.33333333,0,10.78579312
1238,60.66666667,0,6.110100927
1238.4,69,0,4
1238.9,58,0,9.539392014
1239.3,55.33333333,0,7.571877794
1239.8,60.33333333,0,6.658328118
1240.2,57,0,3.605551275
1240.7,68,0,6
1241.1,57.33333333,0,6.658328118
1241.6,56,0,5.291502622
1242.1,67.66666667,0,6.506407099
1242.5,56.33333333,0,6.027713773
1243,55,0,8.717797887
1243.4,60.66666667,0,10.5039675
1243.9,64.66666667,0,7.637626158
1244.3,55.66666667,0,9.504384953
1244.8,53.66666667,0,8.621678104
1245.2,61,0,8.660254038
1245.7,57.33333333,0,6.027713773
1246.1,62.66666667,0,8.144527815
1246.6,64,0,11.26942767
1247,59,0,4.582575695
1247.5,55,0,1
1248,63,0,9.16515139
1248.4,65.66666667,0,14.18919777
1248.9,64.33333333,0,7.094598885
1249.3,66,0,8.185352772
1249.8,61.66666667,0,2.886751346
1250.2,67.33333333,0,8.96288644
1250.7,72,0,12.28820573
1251.1,67,0,2.645751311
1251.6,72.33333333,0,14.0118997
1252,67.33333333,0,10.11599394
1252.5,67.66666667,0,2.886751346
1253,79.66666667,0,5.773502692
1253.4,81.66666667,0,11.67618659
1253.9,80.66666667,0,11.93035345
1254.3,83.33333333,0,11.59022577
1254.8,79,0,3.605551275
1255.2,73,0,2.645751311
1255.7,84,0,1
1256.1,73,0,12.52996409
1256.6,78.33333333,0,0.577350269
1257,79.66666667,0,4.725815626
1257.5,83,0,13.07669683
1258,88.66666667,0,3.511884584
1258.4,83,0,14
1258.9,90,0,3.464101615
1259.3,78.33333333,0,8.386497084
1259.8,75.33333333,0,6.658328118
1260.2,87,0,6.08276253
1260.7,71,0,7
1261.1,74,0,6.244997998
1261.6,67.33333333,0,7.571877794
1262,62,0,9.539392014
1262.5,61.66666667,0,11.01514109
1262.9,70,0,12.28820573
1263.4,56.66666667,0,9.073771726
1263.9,62,0,2.645751311
1264.3,75,0,9.848857802
1264.8,58.66666667,0,7.505553499
1265.2,63,0,8.717797887
1265.7,50.66666667,0,1.527525232
1266.1,59.66666667,0,8.082903769
1266.6,63.33333333,0,7.094598885
1267,56.66666667,0,11.93035345
1267.5,53.66666667,0,6.506407099
1267.9,61,0,3
1268.4,59.33333333,0,7.637626158
1268.9,52.66666667,0,4.163331999
1269.3,58.33333333,0,8.736894948
1269.8,62.33333333,0,8.736894948
1270.2,53.33333333,0,5.507570547
1270.7,61,0,8.544003745
1271.1,56.33333333,0,2.309401077
1271.6,61,0,10.14889157
1272,53.33333333,0,6.110100927
1272.5,61.66666667,0,4.725815626
1272.9,60.33333333,0,0.577350269
1273.4,45.33333333,0,8.504900548
1273.9,54.33333333,0,15.0443788
1274.3,59,0,6.244997998
1274.8,58,0,7.549834435
1275.2,58.33333333,0,6.350852961
1275.7,58.66666667,0,2.886751346
1276.1,52.66666667,0,3.055050463
1276.6,62.66666667,0,13.27905619
1277,62,0,2
1277.5,59,0,4.358898944
1277.9,69,0,4.358898944
1278.4,53.33333333,0,2.309401077
1278.8,57.33333333,0,3.785938897
1279.3,62,0,1.732050808
1279.8,49.66666667,0,1.154700538
1280.2,64,0,7
1280.7,60,0,7.549834435
1281.1,50.33333333,0,8.144527815
1281.6,60.66666667,0,6.429100507
1282,66,0,5.291502622
1282.5,56.33333333,0,4.163331999
1282.9,58.66666667,0,4.725815626
1283.4,68.33333333,0,3.214550254
1283.8,71.66666667,0,6.429100507
1284.3,62.33333333,0,7.094598885
1284.8,58.33333333,0,4.618802154
1285.2,64,0,9.539392014
1285.7,62.33333333,0,7.637626158
1286.1,60.33333333,0,4.509249753
1286.6,61.66666667,0,6.658328118
1287,66.66666667,0,4.041451884
1287.5,62.66666667,0,7.637626158
1287.9,63.33333333,0,7.094598885
1288.4,63.66666667,0,3.214550254
1288.8,70.66666667,0,4.041451884
1289.3,58.33333333,0,2.516611478
1289.8,54.33333333,0,9.814954576
1290.2,62.33333333,0,10.5039675
1290.7,56.66666667,0,9.712534856
1291.1,60.66666667,0,9.291573243
1291.6,68.66666667,0,6.110100927
1292,69,0,13.45362405
1292.5,71.66666667,0,8.736894948
1292.9,64,0,14.93318452
1293.4,54.33333333,0,5.507570547
1293.8,70.33333333,0,4.041451884
1294.3,63.66666667,0,8.386497084
1294.7,63.66666667,0,9.451631253
1295.2,58.33333333,0,6.110100927
1295.7,60,0,8.717797887
1296.1,60,0,2
1296.6,57.33333333,0,1.527525232
1297,66.66666667,0,7.571877794
1297.5,54.33333333,0,5.686240703
1297.9,61,0,8
1298.4,55.33333333,0,3.055050463
1298.8,55,0,4.582575695
1299.3,59.33333333,0,10.0166528
1299.7,53,0,5.196152423
1300.2,60,0,14
1300.7,49,0,4.582575695
1301.1,54,0,3.605551275
1301.6,48.66666667,0,5.686240703
1302,49,0,14.93318452
1302.5,49.66666667,0,8.736894948
1302.9,56.33333333,0,12.09683154
1303.4,50.66666667,0,6.658328118
1303.8,44.33333333,0,6.506407099
1304.3,41.33333333,0,3.055050463
1304.7,40,0,1
1305.2,48,0,3
1305.7,44.66666667,0,10.06644591
1306.1,47.33333333,0,7.234178138
1306.6,55,0,15.13274595
1307,48,0,1
1307.5,37.66666667,0,12.50333289
1307.9,38.66666667,0,3.214550254
1308.4,42.66666667,0,5.686240703
1308.8,35.33333333,0,9.291573243
1309.3,34.66666667,0,3.055050463
1309.7,41,0,6.08276253
1310.2,39.66666667,0,8.504900548
1310.6,39.66666667,0,4.041451884
1311.1,36,0,6.244997998
1311.6,37.33333333,0,2.081665999
1312,37.33333333,0,2.516611478
1312.5,40,0,4.358898944
1312.9,30.66666667,0,6.658328118
1313.4,41,0,6.92820323
1313.8,39.33333333,0,4.163331999
1314.3,32,0,4
1314.7,35.66666667,0,2.886751346
1315.2,37.33333333,0,13.0128142
1315.6,37,0,5
1316.1,34.66666667,0,6.806859286
1316.6,33,0,1
1317,45.66666667,0,5.507570547
1317.5,40.33333333,0,4.509249753
1317.9,38.33333333,0,6.806859286
1318.4,39,0,6.557438524
1318.8,34.66666667,0,11.59022577
1319.3,38.33333333,0,4.725815626
1319.7,36.66666667,0,4.509249753
1320.2,35.66666667,0,4.725815626
1320.6,32.33333333,0,7.234178138
1321.1,46.33333333,0,5.686240703
1321.6,45.66666667,0,4.163331999
1322,43,0,2.645751311
1322.5,44,0,1.732050808
1322.9,48,0,3.605551275
1323.4,48,0,7.211102551
1323.8,51.33333333,0,12.22020185
1324.3,49,0,3.464101615
1324.7,58.33333333,0,11.67618659
1325.2,67,0,9.539392014
1325.6,58,0,17.52141547
1326.1,70.33333333,0,8.144527815
1326.5,71.33333333,0,6.658328118
1327,79.33333333,0,4.725815626
1327.5,75.66666667,0,16.80277755
1327.9,67,0,10
1328.4,82,0,9.848857802
1328.8,80,0,8.717797887
1329.3,88,0,10.53565375
1329.7,88.33333333,0,18.33939294
1330.2,85,0,13.11487705
1330.6,82.33333333,0,0.577350269
1331.1,100,0,15.13274595
1331.5,89.33333333,0,7.637626158
1332,96.33333333,0,4.163331999
1332.5,86.66666667,0,9.712534856
1332.9,89.33333333,0,9.018499506
1333.4,94,0,4.582575695
1333.8,84.33333333,0,7.094598885
1334.3,84.66666667,0,6.110100927
1334.7,84.66666667,0,9.291573243
1335.2,72,0,8.185352772
1335.6,76.66666667,0,11.59022577
1336.1,68.33333333,0,7.234178138
1336.5,66.66666667,0,8.736894948
1337,60,0,5.291502622
1337.5,68.33333333,0,7.371114796
1337.9,63.33333333,0,7.571877794
1338.4,52.66666667,0,5.507570547
1338.8,56.33333333,0,5.859465277
1339.3,49.66666667,0,4.163331999
1339.7,44.33333333,0,9.018499506
1340.2,39.33333333,0,9.451631253
1340.6,37.66666667,0,6.506407099
1341.1,40,0,7
1341.5,33.33333333,0,2.309401077
1342,38.66666667,0,3.055050463
1342.4,30.33333333,0,4.509249753
1342.9,33.33333333,0,4.163331999
1343.4,34.66666667,0,0.577350269
1343.8,31.33333333,0,9.073771726
1344.3,30,0,7.549834435
1344.7,29.33333333,0,7.505553499
1345.2,30.33333333,0,2.081665999
1345.6,31.66666667,0,5.507570547
1346.1,37.66666667,0,2.081665999
1346.5,43.66666667,0,5.507570547
1347,32,0,7.211102551
1347.4,36.33333333,0,0.577350269
1347.9,47,0,3.605551275
1348.4,43,0,1.732050808
1348.8,51.66666667,0,2.081665999
1349.3,48,0,4
1349.7,49.66666667,0,6.658328118
1350.2,51.33333333,0,2.516611478
1350.6,58.33333333,0,3.785938897
1351.1,67,0,2.645751311
1351.5,63.66666667,0,17.95364401
1352,66.66666667,0,15.0443788
1352.4,60,0,8
1352.9,67.33333333,0,5.686240703
1353.4,69.33333333,0,7.371114796
1353.8,63,0,8.888194417
1354.3,73.33333333,0,9.712534856
1354.7,67.33333333,0,13.0128142
1355.2,67.33333333,0,7.094598885
1355.6,68.33333333,0,10.69267662
1356.1,67.66666667,0,4.725815626
1356.5,65,0,2.645751311
1357,66,0,10.44030651
1357.4,57.66666667,0,7.571877794
1357.9,62,0,18.33030278
1358.3,56.33333333,0,1.527525232
1358.8,50.66666667,0,0.577350269
1359.3,61.33333333,0,8.386497084
1359.7,47.66666667,0,7.505553499
1360.2,50.33333333,0,3.785938897
1360.6,45,0,6.92820323
1361.1,44.33333333,0,3.214550254
1361.5,38,0,5.567764363
1362,30.33333333,0,6.506407099
1362.4,34.33333333,0,3.785938897
1362.9,30.33333333,0,4.509249753
1363.3,25,0,1
1363.8,23,0,3
1364.3,21.66666667,0,6.110100927
1364.7,17.66666667,0,3.055050463
1365.2,20.33333333,0,2.886751346
1365.6,20.33333333,0,1.154700538
1366.1,14.66666667,0,2.309401077
1366.5,15,0,2.645751311
1367,7,0,2.645751311
1367.4,8,0,4.358898944
1367.9,10.33333333,0,3.055050463
1368.3,8.333333333,0,2.886751346
1368.8,4.333333333,0,2.516611478
1369.3,7,0,0
1369.7,5.333333333,0,1.527525232
1370.2,4.666666667,0,2.081665999
1370.6,3.666666667,0,2.886751346
1371.1,5.666666667,0,2.081665999
1371.5,6,0,3.605551275
