X,Y,X_U,Y_U
E_A#3 / keV,,,
-51.1,0,0,0
-48,0,0,0
-45,0,0,0
-41.9,71,0,7.937253933
-38.8,237,0,8.888194417
-35.7,325.6666667,0,21.03172207
-32.6,444.6666667,0,4.041451884
-29.5,552.3333333,0,27.15388247
-26.4,701.3333333,0,17.38773514
-23.4,766,0,26.05762844
-20.3,819.3333333,0,18.92969449
-17.2,741.3333333,0,13.65039682
-14.1,668.6666667,0,32.19213154
-11,649.3333333,0,11.37248141
-7.9,588.6666667,0,13.0511813
-4.8,550,0,8.544003745
-1.8,488.6666667,0,16.04161255
1.3,443.6666667,0,13.79613472
4.4,397,0,19.97498436
7.5,392,0,19
10.6,389.3333333,0,9.609023537
13.7,412.3333333,0,9.237604307
16.8,467.3333333,0,34.84728588
19.8,611.3333333,0,37.28717384
22.9,892,0,34.7706773
26,1209.333333,0,31.00537588
29.1,1561.666667,0,14.43375673
32.2,1721,0,32.04684072
35.3,1566.666667,0,21.5019379
38.4,1240.333333,0,13.61371857
41.4,912.3333333,0,20.30599255
44.5,695,0,50.47771786
47.6,589.3333333,0,10.0166528
50.7,567,0,15.39480432
53.8,523.3333333,0,7.505553499
56.9,505.6666667,0,5.131601439
60,554.6666667,0,18.92969449
63,501.3333333,0,11.59022577
66.1,524.6666667,0,31.21431296
69.2,547,0,27.78488798
72.3,525.6666667,0,18.58314649
75.4,527.3333333,0,7.094598885
78.5,517.3333333,0,19.65536398
81.6,551.6666667,0,20.50203242
84.6,516,0,8.185352772
87.7,515.3333333,0,24.66441431
90.8,535.6666667,0,23.15887159
93.9,547.3333333,0,13.31665624
97,548.3333333,0,31.53305144
100.1,512.6666667,0,31.06981386
103.2,526.6666667,0,8.326663998
106.2,536,0,20.0748599
109.3,494.3333333,0,25.69695183
112.4,521,0,22.11334439
115.5,526,0,26.05762844
118.6,518,0,15.5241747
121.7,504,0,13.11487705
124.8,495.3333333,0,16.44181661
127.8,493.6666667,0,4.725815626
130.9,502.3333333,0,49.54122862
134,504,0,15.71623365
137.1,514.6666667,0,15.27525232
140.2,550,0,15.39480432
143.3,559.6666667,0,41.42865353
146.4,588.6666667,0,16.16580754
149.4,570.3333333,0,36.19852667
152.5,583.3333333,0,28.02379941
155.6,606.6666667,0,20.50203242
158.7,648.6666667,0,43.15476026
161.8,659,0,6.92820323
164.9,668.6666667,0,39.24708057
168,680,0,24.43358345
171,707.6666667,0,44.99259198
174.1,661.6666667,0,27.42869544
177.2,651,0,21.63330765
180.3,625.6666667,0,41.68133075
183.4,591.3333333,0,40.41451884
186.5,577,0,5.291502622
189.6,556.6666667,0,15.53490693
192.6,527.6666667,0,26.57693235
195.7,547.3333333,0,24.37895267
198.8,523.3333333,0,11.50362262
201.9,509,0,38.97435054
205,511.6666667,0,13.86842938
208.1,484.6666667,0,6.806859286
211.2,470.3333333,0,2.516611478
214.2,482.6666667,0,43.01550108
217.3,461,0,1.732050808
220.4,463.3333333,0,12.09683154
223.5,471,0,24.43358345
226.6,425.3333333,0,11.54700538
229.7,455.6666667,0,10.40833
