X,Y,X_U,Y_U
E_A / keV,N_A,,
-51.5,0,0,0
-48.5,0,0,0
-45.5,0,0,0
-42.5,69.33333333,0,3.214550254
-39.6,201,0,5.567764363
-36.6,252.6666667,0,22.36813209
-33.6,271.6666667,0,14.18919777
-30.6,311.6666667,0,13.57694124
-27.6,304.6666667,0,19.60442127
-24.6,350.6666667,0,16.16580754
-21.6,336.3333333,0,2.886751346
-18.6,353.6666667,0,18.47520861
-15.6,374,0,13.74772708
-12.6,384.3333333,0,33.56088994
-9.6,363.3333333,0,14.571662
-6.6,406,0,7.810249676
-3.7,401.6666667,0,19.50213664
-0.7,425.3333333,0,15.17673658
2.3,442.3333333,0,9.291573243
5.3,429,0,11.35781669
8.3,442.6666667,0,7.234178138
11.3,447,0,16.09347694
14.3,472.3333333,0,36.25373544
17.3,485.3333333,0,14.18919777
20.3,483.3333333,0,20.13289183
23.3,498.6666667,0,33.56088994
26.3,491,0,26.2297541
29.3,513,0,9.539392014
32.3,512,0,14.10673598
35.2,520.6666667,0,11.50362262
38.2,526.3333333,0,22.23360819
41.2,533.6666667,0,16.2583312
44.2,545,0,26.90724809
47.2,576.6666667,0,4.725815626
50.2,581.6666667,0,6.027713773
53.2,580.3333333,0,25.57994006
56.2,569.3333333,0,19.13983629
59.2,570.6666667,0,16.86218649
62.2,559,0,31.43246729
65.2,560.3333333,0,13.86842938
68.2,553,0,14.17744688
71.2,587,0,37.32291521
74.1,581.6666667,0,12.01388086
77.1,555.3333333,0,24.98666311
80.1,551.6666667,0,11.93035345
83.1,549,0,2.645751311
86.1,600.3333333,0,13.31665624
89.1,577.3333333,0,13.57694124
92.1,564.6666667,0,19.03505538
95.1,547,0,14.4222051
98.1,575,0,7
101.1,582.6666667,0,35.16153201
104.1,559.3333333,0,5.033222957
107.1,547,0,10.58300524
110.1,543,0,9.16515139
113,555,0,19.5192213
116,561.6666667,0,3.511884584
119,558.3333333,0,17.61628035
122,558.6666667,0,61.17461347
125,559.3333333,0,35.01904244
128,559.6666667,0,27.46512941
131,558,0,4.582575695
134,589.3333333,0,8.144527815
137,569,0,24.43358345
140,586,0,53.3291665
143,572.6666667,0,23.00724524
146,629.3333333,0,28.11286775
148.9,625.6666667,0,42.73562136
151.9,631.3333333,0,11.01514109
154.9,640.6666667,0,16.86218649
157.9,653.6666667,0,55.22076904
160.9,662,0,34.51086785
163.9,642.3333333,0,28.5365263
166.9,656.6666667,0,8.020806277
169.9,648.3333333,0,8.504900548
172.9,610.3333333,0,20.7926269
175.9,631,0,24.2693222
178.9,606.3333333,0,26.57693235
181.9,612,0,39.35733731
184.9,583.3333333,0,9.712534856
187.8,590.3333333,0,11.59022577
190.8,597,0,12.52996409
193.8,568.6666667,0,11.37248141
196.8,581.3333333,0,38.55299383
199.8,557.6666667,0,20.59935274
202.8,564.3333333,0,21.57158625
205.8,548.6666667,0,11.59022577
208.8,568,0,18.1934054
211.8,547.6666667,0,25.10644008
214.8,529.6666667,0,25.69695183
217.8,525,0,20.29778313
220.8,537.3333333,0,7.637626158
223.8,526.6666667,0,14.18919777
226.7,510.3333333,0,40.27819923
229.7,510.3333333,0,33.32166462
232.7,509.6666667,0,26.65207934
235.7,489,0,19.07878403
238.7,496.3333333,0,9.865765725
241.7,478.3333333,0,28.02379941
244.7,500.6666667,0,14.15391583
247.7,501.6666667,0,34.03429643
250.7,487,0,5.196152423
253.7,494.3333333,0,13.57694124
256.7,491.3333333,0,32.1299445
259.7,473,0,26.05762844
262.7,489.6666667,0,23.54428452
265.6,473.3333333,0,5.507570547
268.6,469.3333333,0,21.77919497
271.6,441,0,20.0748599
274.6,488.6666667,0,25.00666578
277.6,487.6666667,0,4.041451884
280.6,461,0,19
283.6,465.6666667,0,14.571662
