X,Y,X_U,Y_U
E_A#7 / keV,N_A#7,0,0
-47.9,0,0,0
-44.8,0,0,0
-41.6,0,0,0
-38.5,0,0,0
-35.3,5,0,0
-32.2,28,0,0
-29.1,26,0,0
-25.9,38,0,0
-22.8,22,0,0
-19.6,44,0,0
-16.5,47,0,0
-13.4,42,0,0
-10.2,39,0,0
-7.1,41,0,0
-3.9,46,0,0
-0.8,63,0,0
2.3,49,0,0
5.5,55,0,0
8.6,68,0,0
11.8,53,0,0
14.9,56,0,0
18,69,0,0
21.2,76,0,0
24.3,67,0,0
27.5,65,0,0
30.6,83,0,0
33.7,92,0,0
36.9,97,0,0
40,83,0,0
43.2,79,0,0
46.3,104,0,0
49.4,125,0,0
52.6,120,0,0
55.7,140,0,0
58.9,122,0,0
62,157,0,0
65.1,127,0,0
68.3,140,0,0
71.4,113,0,0
74.6,127,0,0
77.7,125,0,0
80.8,111,0,0
84,108,0,0
87.1,120,0,0
90.3,102,0,0
93.4,102,0,0
96.5,94,0,0
99.7,103,0,0
102.8,114,0,0
106,106,0,0
109.1,90,0,0
112.2,105,0,0
115.4,93,0,0
118.5,95,0,0
121.7,99,0,0
124.8,109,0,0
127.9,89,0,0
131.1,101,0,0
134.2,93,0,0
137.3,95,0,0
140.5,105,0,0
143.6,99,0,0
146.8,98,0,0
149.9,109,0,0
153,100,0,0
156.2,92,0,0
159.3,104,0,0
162.5,110,0,0
165.6,112,0,0
168.7,110,0,0
171.9,110,0,0
175,90,0,0
178.2,80,0,0
181.3,79,0,0
184.4,76,0,0
187.6,68,0,0
190.7,72,0,0
193.9,66,0,0
197,71,0,0
200.1,62,0,0
203.3,68,0,0
206.4,75,0,0
209.6,66,0,0
212.7,76,0,0
215.8,87,0,0
219,72,0,0
222.1,71,0,0
225.3,79,0,0
228.4,86,0,0
231.5,60,0,0
234.7,77,0,0
237.8,60,0,0
241,69,0,0
244.1,74,0,0
247.2,60,0,0
250.4,67,0,0
253.5,59,0,0
256.7,54,0,0
259.8,56,0,0
262.9,57,0,0
266.1,77,0,0
269.2,63,0,0
272.4,57,0,0
275.5,63,0,0
278.6,50,0,0
281.8,72,0,0
284.9,66,0,0
288.1,68,0,0
291.2,62,0,0
294.3,60,0,0
297.5,49,0,0
300.6,51,0,0
303.8,65,0,0
306.9,59,0,0
310,46,0,0
313.2,61,0,0
316.3,56,0,0
319.5,59,0,0
322.6,55,0,0
325.7,43,0,0
328.9,49,0,0
332,55,0,0
335.2,45,0,0
338.3,56,0,0
341.4,52,0,0
344.6,45,0,0
347.7,58,0,0
350.9,29,0,0
354,50,0,0
357.1,36,0,0
360.3,48,0,0
363.4,48,0,0
366.6,53,0,0
369.7,41,0,0
372.8,34,0,0
376,40,0,0
379.1,43,0,0
382.3,41,0,0
385.4,48,0,0
388.5,46,0,0
391.7,57,0,0
394.8,31,0,0
398,44,0,0
401.1,44,0,0
404.2,55,0,0
407.4,42,0,0
410.5,33,0,0
413.7,39,0,0
416.8,51,0,0
419.9,36,0,0
423.1,34,0,0
426.2,42,0,0
429.4,43,0,0
432.5,52,0,0
435.6,35,0,0
438.8,40,0,0
441.9,35,0,0
445.1,65,0,0
448.2,33,0,0
451.3,38,0,0
454.5,53,0,0
457.6,37,0,0
460.8,44,0,0
463.9,55,0,0
467,57,0,0
470.2,54,0,0
473.3,60,0,0
476.5,61,0,0
479.6,67,0,0
482.7,86,0,0
485.9,92,0,0
489,76,0,0
492.2,93,0,0
495.3,99,0,0
498.4,109,0,0
501.6,122,0,0
504.7,123,0,0
507.9,136,0,0
511,118,0,0
514.1,137,0,0
517.3,142,0,0
520.4,125,0,0
523.6,131,0,0
526.7,139,0,0
529.8,110,0,0
533,99,0,0
536.1,88,0,0
539.3,95,0,0
542.4,71,0,0
545.5,85,0,0
548.7,58,0,0
551.8,55,0,0
555,40,0,0
558.1,26,0,0
561.2,37,0,0
564.4,27,0,0
567.5,23,0,0
570.7,20,0,0
573.8,27,0,0
576.9,25,0,0
580.1,24,0,0
583.2,22,0,0
586.4,21,0,0
589.5,18,0,0
592.6,22,0,0
595.8,22,0,0
598.9,15,0,0
602.1,23,0,0
605.2,21,0,0
608.3,23,0,0
611.5,22,0,0
614.6,29,0,0
617.8,25,0,0
620.9,22,0,0
624,28,0,0
627.2,28,0,0
630.3,41,0,0
633.5,31,0,0
636.6,25,0,0
639.7,27,0,0
642.9,27,0,0
646,18,0,0
649.2,29,0,0
652.3,32,0,0
655.4,31,0,0
658.6,30,0,0
661.7,30,0,0
664.9,18,0,0
668,25,0,0
671.1,31,0,0
674.3,25,0,0
677.4,27,0,0
680.6,28,0,0
683.7,39,0,0
686.8,24,0,0
690,26,0,0
693.1,27,0,0
696.3,31,0,0
699.4,18,0,0
702.5,18,0,0
705.7,16,0,0
708.8,18,0,0
712,21,0,0
715.1,17,0,0
718.2,18,0,0
721.4,16,0,0
724.5,25,0,0
727.7,12,0,0
730.8,20,0,0
733.9,14,0,0
737.1,22,0,0
740.2,17,0,0
743.4,19,0,0
746.5,24,0,0
749.6,12,0,0
752.8,15,0,0
755.9,27,0,0
759.1,21,0,0
762.2,15,0,0
765.3,16,0,0
768.5,18,0,0
771.6,13,0,0
774.8,23,0,0
777.9,19,0,0
781,22,0,0
784.2,18,0,0
787.3,9,0,0
790.5,17,0,0
793.6,29,0,0
796.7,17,0,0
799.9,9,0,0
803,20,0,0
806.2,17,0,0
809.3,25,0,0
812.4,13,0,0
