X,Y,X_U,Y_U
3,0,0,0
3.1,0,0,0
3.2,0,0,0
3.3,0,0,0
3.4,0,0,0
3.5,0,0,0
3.6,0,0,0
3.7,0,0,0
3.8,0,0,0
3.9,0,0,0
4,221,0,0
4.1,149,0,0
4.2,115,0,0
4.3,106,0,0
4.4,97,0,0
4.5,111,0,0
4.6,122,0,0
4.7,136,0,0
4.8,117,0,0
4.9,89,0,0
5,55,0,0
5.1,53,0,0
5.2,44,0,0
5.3,33,0,0
5.4,23,0,0
5.5,16,0,0
5.6,14,0,0
5.7,9,0,0
5.8,14,0,0
5.9,7,0,0
6,8,0,0
6.1,8,0,0
6.2,3,0,0
6.3,8,0,0
6.4,9,0,0
6.5,1,0,0
6.6,9,0,0
6.7,9,0,0
6.8,10,0,0
6.9,9,0,0
7,4,0,0
7.1,11,0,0
7.2,5,0,0
7.3,7,0,0
7.4,4,0,0
7.5,2,0,0
7.6,6,0,0
7.7,5,0,0
7.8,3,0,0
7.9,5,0,0
8,7,0,0
8.1,6,0,0
8.2,5,0,0
8.3,4,0,0
8.4,9,0,0
8.5,7,0,0
8.6,9,0,0
8.7,7,0,0
8.8,7,0,0
8.9,3,0,0
9,4,0,0
9.1,7,0,0
9.2,9,0,0
9.3,7,0,0
9.4,23,0,0
9.5,18,0,0
9.6,29,0,0
9.7,51,0,0
9.8,32,0,0
9.9,67,0,0
10,53,0,0
10.1,74,0,0
10.2,66,0,0
10.3,64,0,0
10.4,66,0,0
10.5,67,0,0
10.6,73,0,0
10.7,59,0,0
10.8,91,0,0
10.9,70,0,0
11,74,0,0
11.1,98,0,0
11.2,89,0,0
11.3,87,0,0
11.4,86,0,0
11.5,77,0,0
11.6,83,0,0
11.7,79,0,0
11.8,99,0,0
11.9,97,0,0
12,92,0,0
12.1,102,0,0
12.2,97,0,0
12.3,80,0,0
12.4,56,0,0
12.5,71,0,0
12.6,92,0,0
12.7,83,0,0
12.8,81,0,0
12.9,68,0,0
13,70,0,0
13.1,88,0,0
13.2,73,0,0
13.3,76,0,0
13.4,91,0,0
13.5,72,0,0
13.6,76,0,0
13.7,75,0,0
13.8,72,0,0
13.9,86,0,0
14,78,0,0
14.1,77,0,0
14.2,84,0,0
14.3,65,0,0
14.4,70,0,0
14.5,73,0,0
14.6,72,0,0
14.7,70,0,0
14.8,75,0,0
14.9,75,0,0
15,81,0,0
15.1,72,0,0
15.2,55,0,0
15.3,65,0,0
15.4,51,0,0
15.5,57,0,0
15.6,62,0,0
15.7,60,0,0
15.8,67,0,0
15.9,66,0,0
16,71,0,0
16.1,61,0,0
16.2,62,0,0
16.3,66,0,0
16.4,75,0,0
16.5,74,0,0
16.6,63,0,0
16.7,60,0,0
16.8,54,0,0
16.9,54,0,0
17,71,0,0
17.1,55,0,0
17.2,54,0,0
17.3,53,0,0
17.4,71,0,0
17.5,55,0,0
17.6,52,0,0
17.7,52,0,0
17.8,48,0,0
17.9,47,0,0
18,65,0,0
18.1,65,0,0
18.2,53,0,0
18.3,55,0,0
18.4,47,0,0
18.5,58,0,0
18.6,41,0,0
18.7,57,0,0
18.8,46,0,0
18.9,34,0,0
19,41,0,0
19.1,32,0,0
19.2,45,0,0
19.3,31,0,0
19.4,34,0,0
19.5,34,0,0
19.6,30,0,0
19.7,29,0,0
19.8,30,0,0
19.9,29,0,0
20,32,0,
