X,Y,X_U,Y_U
3,0,0,0
3.1,0,0,0
3.2,0,0,0
3.3,0,0,0
3.4,0,0,0
3.5,0,0,0
3.6,0,0,0
3.7,0,0,0
3.8,0,0,0
3.9,0,0,0
4,18,0,0
4.1,19,0,0
4.2,21,0,0
4.3,18,0,0
4.4,22,0,0
4.5,19,0,0
4.6,17,0,0
4.7,20,0,0
4.8,32,0,0
4.9,38,0,0
5,48,0,0
5.1,51,0,0
5.2,68,0,0
5.3,72,0,0
5.4,79,0,0
5.5,94,0,0
5.6,98,0,0
5.7,86,0,0
5.8,102,0,0
5.9,104,0,0
6,105,0,0
6.1,106,0,0
6.2,111,0,0
6.3,128,0,0
6.4,170,0,0
6.5,264,0,0
6.6,154,0,0
6.7,115,0,0
6.8,143,0,0
6.9,134,0,0
7,149,0,0
7.1,173,0,0
7.2,410,0,0
7.3,897,0,0
7.4,380,0,0
7.5,175,0,0
7.6,175,0,0
7.7,147,0,0
7.8,158,0,0
7.9,157,0,0
8,170,0,0
8.1,177,0,0
8.2,191,0,0
8.3,177,0,0
8.4,192,0,0
8.5,190,0,0
8.6,186,0,0
8.7,184,0,0
8.8,169,0,0
8.9,188,0,0
9,177,0,0
9.1,175,0,0
9.2,194,0,0
9.3,184,0,0
9.4,174,0,0
9.5,167,0,0
9.6,144,0,0
9.7,161,0,0
9.8,158,0,0
9.9,154,0,0
10,153,0,0
10.1,153,0,0
10.2,151,0,0
10.3,148,0,0
10.4,163,0,0
10.5,148,0,0
10.6,164,0,0
10.7,144,0,0
10.8,149,0,0
10.9,143,0,0
11,150,0,0
11.1,150,0,0
11.2,143,0,0
11.3,136,0,0
11.4,149,0,0
11.5,152,0,0
11.6,139,0,0
11.7,126,0,0
11.8,124,0,0
11.9,123,0,0
12,122,0,0
12.1,142,0,0
12.2,115,0,0
12.3,111,0,0
12.4,113,0,0
12.5,125,0,0
12.6,105,0,0
12.7,120,0,0
12.8,133,0,0
12.9,150,0,0
13,140,0,0
13.1,130,0,0
13.2,127,0,0
13.3,130,0,0
13.4,116,0,0
13.5,124,0,0
13.6,106,0,0
13.7,117,0,0
13.8,113,0,0
13.9,106,0,0
14,103,0,0
14.1,112,0,0
14.2,97,0,0
14.3,118,0,0
14.4,108,0,0
14.5,163,0,0
14.6,299,0,0
14.7,207,0,0
14.8,101,0,0
14.9,107,0,0
15,94,0,0
15.1,102,0,0
15.2,127,0,0
15.3,105,0,0
15.4,85,0,0
15.5,79,0,0
15.6,80,0,0
15.7,80,0,0
15.8,75,0,0
15.9,91,0,0
16,88,0,0
16.1,81,0,0
16.2,72,0,0
16.3,69,0,0
16.4,70,0,0
16.5,63,0,0
16.6,64,0,0
16.7,71,0,0
16.8,54,0,0
16.9,52,0,0
17,62,0,0
17.1,61,0,0
17.2,44,0,0
17.3,60,0,0
17.4,59,0,0
17.5,44,0,0
17.6,59,0,0
17.7,52,0,0
17.8,52,0,0
17.9,37,0,0
18,47,0,0
18.1,32,0,0
18.2,46,0,0
18.3,50,0,0
18.4,47,0,0
18.5,39,0,0
18.6,45,0,0
18.7,35,0,0
18.8,29,0,0
18.9,40,0,0
19,37,0,0
19.1,33,0,0
19.2,32,0,0
19.3,33,0,0
19.4,32,0,0
19.5,27,0,0
19.6,52,0,0
19.7,35,0,0
19.8,29,0,0
19.9,33,0,0
20,24,0,
,,,
